system   D            wsystem.c:583  maybe_parent_dir                 [   0.02260] Also searching C:\Users\Konrad\Documents\KCK\Github\KCK__sroda_10_gr3\KCK\
display  D   display_settings.c:506  _al_score_display_settings       [   0.07451] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.07453] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07456] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.07458] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07460] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.07462] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07465] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07467] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07469] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07471] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07474] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07476] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07480] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07483] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07485] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07490] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07494] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07497] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07499] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07501] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07503] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07506] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07508] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07510] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07512] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07515] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07517] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07520] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07522] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07524] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07526] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07529] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07531] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07533] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07535] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07538] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07540] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07542] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07544] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07549] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07554] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07568] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07571] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07573] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07575] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07577] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07580] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07582] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07586] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07589] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07591] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07593] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07595] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07598] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07600] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07602] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07605] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07607] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07609] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07612] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07614] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07616] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07618] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07621] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07623] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07626] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07628] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07631] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07633] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07635] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07638] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07640] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07642] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
